Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
62,Customer group 2,klabas__,klsegref,nchar,False,30,,
63,Parent company ID,klabas__,vrzm_kla,nchar,False,6,,
64,Major grouping customer,klabas__,kla_hvdt,nchar,False,100,,
65,Customer grouping,klabas__,kla__vdt,nchar,False,100,,
66,Rating (vrij veld),klabas__,beoordel,nchar,False,3,,
67,Customer status,klabas__,status__,nchar,False,1,KlantStatus,
68,Status: datum,klabas__,stat_dat,date,False,0,,
69,Representative ID,klabas__,vrt__ref,nchar,False,6,,
70,% commission internal representative,klabas__,kommiss_,float,False,0,,
71,Commissionar,klabas__,lev__ref,nchar,False,6,,
72,% external commission,klabas__,kommiss2,float,False,0,,
73,External commission comment,klabas__,kom2_kom,nchar,False,30,,
74,Send collection letters (Y/N),klabas__,aanman__,nchar,False,1,,
75,Discount articles,klabas__,kort__af,float,False,0,,
76,Grouping articles invoices,klabas__,grp___af,nchar,False,1,,
77,Extra costs grouping,klabas__,grp__2af,nchar,False,1,,
78,Customer who pays,klabas__,bkla_ref,nchar,False,6,,
79,Our ID at the customer,klabas__,kltlevnr,nchar,False,15,,
80,Invoice product term,klabas__,dgprdfac,integer,False,0,,
81,Destroy product term,klabas__,dgprddel,integer,False,0,,
82,Quality level (products),klabas__,qalvlref,nchar,False,3,,
83,Sample plan ID,klabas__,smpl_typ,nchar,False,1,,
84,Fixed amount of copies per ribbon,klabas__,smpl_str,integer,False,0,,
85,Fixed step for sample rolls,klabas__,smpl_stp,integer,False,0,,
86,Reference to sample table,klabas__,smpl_ref,nchar,False,10,,
87,No. of 0-samples,klabas__,smpl_nul,integer,False,0,,
88,Extra variabele (Sampling),klabas__,smplvar1,integer,False,0,,
89,Extra variabele (Sampling),klabas__,smplvar2,nchar,False,5,,
90,Extra variabele (Sampling),klabas__,smplvar3,nchar,False,5,,
91,Extra variabele (Sampling),klabas__,smplvar4,nchar,False,5,,
92,Number at insurance company,klabas__,vrz__num,nchar,False,15,,
93,Toestand van de aanvraag (in aanvraag ?),klabas__,vrz__tst,nchar,False,2,,
94,Requested amount,klabas__,amo__ask,float,False,0,,
95,Total authorized amount,klabas__,amo__akn,float,False,0,,
96,Authorised amount in customer currency,klabas__,amoaknvm,float,False,0,,
97,,klabas__,amoaknom,float,False,0,,
98,Due date,klabas__,vrzvvdat,date,False,0,,
99,Term of payment ID,klabas__,vrzbetko,nchar,False,4,,
100,Comment,klabas__,vrz__com,nchar,False,40,,
101,Free fields for selections,klabas__,vrz_zone,nchar,False,2,,
102,Insurance code,klabas__,vrz_mij_,nchar,False,1,,
103,Material stock,klabas__,grd_vrrd,float,False,0,,
104,Product stock,klabas__,vgo_vrrd,float,False,0,,
105,niet gefakt orders: opbrengsten,klabas__,ngo_opbr,float,False,0,,
106,niet gefakt orders: kosten,klabas__,ngo_kost,float,False,0,,
107,,klabas__,ngkoopbr,float,False,0,,
108,,klabas__,openstf_,float,False,0,,
109,,klabas__,ovschr_o,float,False,0,,
110,,klabas__,ovschr_k,float,False,0,,
111,Amount of jobs to be invoiced,klabas__,ngo_aant,integer,False,0,,
112,Amount of sales orders to be invoiced,klabas__,ngkoaant,integer,False,0,,
113,No. of unpaid invoices,klabas__,opf_aant,integer,False,0,,
114,Date oldest invoice,klabas__,oudstefk,date,False,0,,
115,Date next shipment,klabas__,volglev_,date,False,0,,
116,Date latest calculation,klabas__,le_berek,date,False,0,,
117,Delivery address,klabas__,lok__ref,nchar,False,6,,
118,Favourite transporter,klabas__,levtrref,nchar,False,6,,
119,Delivery allowance,klabas__,ltol_ref,nchar,False,3,,
120,Transport zone (Estimate),klabas__,trn__ref,nchar,False,3,,
121,Transport: Favourite rate,klabas__,trnt_ref,nchar,False,3,,
122,Transport comment: 1,klabas__,trncom_1,nchar,False,50,,
123,Transport comment: 2,klabas__,trncom_2,nchar,False,50,,
124,Transport comment: 3,klabas__,trncom_3,nchar,False,50,,
